method	bits	random_top_layer	quantize_top_layer	time_delta	cnt_tokens	speed
vanilla	4			18.10700011253357	232	12.812724281114399
vanilla	8			36.61256551742554	232	6.33662232409201
vanilla	16			15.541110515594482	232	14.928148137625252
eagle	4	False	False	36.8268768787384	233	6.326900887284308
eagle	8	False	False	24.654788494110107	232	9.409936737255869
eagle	16	False	False	14.553975343704224	234	16.078081381471076
eagle	4	True	False	77.57319521903992	232	2.99072378474178
eagle	8	True	False	47.03484296798706	232	4.932513544435649
eagle	16	True	False	23.35963273048401	232	9.931662996449559
eagle	4	False	True	39.72257041931152	233	5.86568284832657
eagle	8	False	True	25.20626187324524	235	9.323080160864185
eagle	16	False	True	14.364750623703003	234	16.28987555230378
eagle	4	True	True	81.38095164299011	232	2.8507899614858303
eagle	8	True	True	49.24844217300415	232	4.710808906097182
eagle	16	True	True	23.615883350372314	232	9.823896762953074
